Site,Treatment,Colony,Date,Mass,Brood,Framesbees,Updatedbrood
Curtiss,Soybean,32,7/22/16,23.2,60,21,102240
Oakland,Soybean,33,7/22/16,28.8448608,394,24,671376
Oakland,Soybean,34,7/22/16,23.4017532,154.5,19.5,263268
Oakland,Soybean,35,7/22/16,12.1544689,258,10,439632
Oakland,Soybean,36,7/22/16,20.0766071,285.5,25,486492
Kostelnick,Soybean,37,7/22/16,7.6,201,23,342504
Kostelnick,Soybean,38,7/22/16,5.6,105,12,178920
Kostelnick,Soybean,39,7/22/16,12.4,96.5,17,164436
Kostelnick,Soybean,40,7/22/16,11.35,304,19,518016
7 Pines,CSA,41,7/22/16,20.2266071,266,27,453264
7 Pines,CSA,42,7/22/16,33.0418529,286,24.5,487344
7 Pines,CSA,43,7/22/16,36.0098144,181.5,41,309276
7 Pines,CSA,44,7/22/16,20.3191303,161,15,274344
Black Cat,CSA,45,7/22/16,19.3194225,314,30.5,535056
Black Cat,CSA,46,7/22/16,33.1882606,278.5,33.5,474564
Black Cat,CSA,47,7/22/16,7.6185459,0,3,0
Black Cat,CSA,48,7/22/16,8.9793228,210,8,357840
River Ridge,CSA,49,7/22/16,25.55,263.5,25.5,449004
River Ridge,CSA,50,7/22/16,22.14,228,18,388512
River Ridge,CSA,51,7/22/16,15,462,27,787248
River Ridge,CSA,52,7/22/16,28.2,259,26,441336
Mustard Seed,CSA,53,7/22/16,35.1,240,22,408960
Mustard Seed,CSA,54,7/22/16,25.7,202.5,29,345060
Mustard Seed,CSA,55,7/22/16,24.75,223,22,379992
Mustard Seed,CSA,56,7/22/16,24.75,153,19,260712
Berry Patch Farm,CSA,57,7/22/16,10.2475765,92,11,156768
Berry Patch Farm,CSA,58,7/22/16,21.1337917,260,21.5,443040
Berry Patch Farm,CSA,59,7/22/16,13.4227226,180,10.5,306720
Berry Patch Farm,CSA,60,7/22/16,16.1442764,288,21.5,490752
Uthe,Soybean,1,8/3/16,18.9194225,283.5,27,483084
Uthe,Soybean,2,8/3/16,37.3849605,257,25,437928
Uthe,Soybean,3,8/3/16,34.2879684,299.5,40,510348
Uthe,Soybean,4,8/3/16,22.5053455,344.5,30,587028
Ontario,Soybean,5,8/3/16,10.1,248.5,15,423444
Ontario,Soybean,6,8/3/16,14.35,62,13.5,105648
Ontario,Soybean,7,8/3/16,9.05,278,16,473712
Ontario,Soybean,8,8/3/16,14.1,0,11,0
Tracy 3,Soybean,9,8/3/16,3.9,0,3,0
Tracy 3,Soybean,10,8/3/16,3,55,3,93720
Tracy 3,Soybean,11,8/3/16,8.35,194.5,10,331428
Tracy 3,Soybean,12,8/3/16,3.8,43.5,6,74124
Haglund 1,Soybean,13,8/3/16,12,144.5,6.5,246228
Haglund 1,Soybean,14,8/3/16,17.6,244,17.5,415776
Haglund 1,Soybean,15,8/3/16,16.85,181,14,308424
Haglund 1,Soybean,16,8/3/16,27.95,270,31,460080
Tracy 1,Soybean,17,8/3/16,20.65,169,20,287976
Tracy 1,Soybean,18,8/3/16,14.9,69,9,117576
Tracy 1,Soybean,19,8/3/16,18.75,2,14,3408
Tracy 1,Soybean,20,8/3/16,13.3,137,7,233448
Ivis,Soybean,21,8/3/16,18.73155725,234.5,20,399588
Ivis,Soybean,22,8/3/16,49.39078725,143,32,243672
Ivis,Soybean,23,8/3/16,19.7730148,280.5,25,477972
Ivis,Soybean,24,8/3/16,47.57641805,30.5,42,51972
East Dairy,Soybean,25,8/3/16,55.5750602,259,42,441336
East Dairy,Soybean,26,8/3/16,34.2879684,116.5,35,198516
East Dairy,Soybean,27,8/3/16,27.4840839,327,40,557208
East Dairy,Soybean,28,8/3/16,33.8205913,216.5,36,368916
Curtiss,Soybean,29,8/3/16,13.2,163.5,12,278604
Curtiss,Soybean,30,8/3/16,50.01,260,27,443040
Curtiss,Soybean,31,8/3/16,34.45,267,16,454968
Curtiss,Soybean,32,8/3/16,22.4,0,10,0
Oakland,Soybean,33,8/3/16,31.95427985,201,40,342504
Oakland,Soybean,34,8/3/16,27.01476455,142,23,241968
Oakland,Soybean,35,8/3/16,18.8658302,300,23,511200
Oakland,Soybean,36,8/3/16,31.55068755,360.5,39,614292
Kostelnick,Soybean,37,8/3/16,10,194,15,330576
Kostelnick,Soybean,38,8/3/16,3.95,32,5,54528
Kostelnick,Soybean,39,8/3/16,11.8,0,9,0
Kostelnick,Soybean,40,8/3/16,10.7,198.5,10,338244
7 Pines,CSA,41,8/3/16,28.9631145,225,30,383400
7 Pines,CSA,42,8/3/16,42.1136989,346.5,38,590436
7 Pines,CSA,43,8/3/16,45.988845,246.5,44,420036
7 Pines,CSA,44,8/3/16,28.8448608,141.5,22,241116
Black Cat,CSA,45,8/3/16,36.1601066,315,32,536760
Black Cat,CSA,46,8/3/16,50.924768,270.5,44,460932
Black Cat,CSA,47,8/3/16,25.0053455,105,13,178920
Black Cat,CSA,48,8/3/16,15.5906841,121,18,206184
River Ridge,CSA,49,8/3/16,25.7,257,19.5,437928
River Ridge,CSA,50,8/3/16,13.95,222.5,20.5,379140
River Ridge,CSA,51,8/3/16,20.5,282,22,480528
River Ridge,CSA,52,8/3/16,48.35,270,59,460080
Mustard Seed,CSA,53,8/3/16,35.72,257,33.5,437928
Mustard Seed,CSA,54,8/3/16,29.1,216.5,17.5,368916
Mustard Seed,CSA,55,8/3/16,27.75,259,19,441336
Mustard Seed,CSA,56,8/3/16,19.65,181.5,13,309276
Berry Patch Farm,CSA,57,8/3/16,16.5978687,234.5,13,399588
Berry Patch Farm,CSA,58,8/3/16,49.6175834,251,25,427704
Berry Patch Farm,CSA,59,8/3/16,17.5050533,142,16.5,241968
Berry Patch Farm,CSA,60,8/3/16,24.5235992,303,31,516312
Uthe,Soybean,1,8/17/16,18.4658302,307,34,523128
Uthe,Soybean,2,8/17/16,30.35427985,244.5,32.5,416628
Uthe,Soybean,3,8/17/16,27.9376762,227.5,39,387660
Uthe,Soybean,4,8/17/16,20.5984531,316,36.5,538464
Ontario,Soybean,5,8/17/16,9.3,158,20,269232
Ontario,Soybean,6,8/17/16,8.05,2,8.5,3408
Ontario,Soybean,7,8/17/16,10.3,256,17,436224
Ontario,Soybean,8,8/17/16,12.85,2,5,3408
Tracy 3,Soybean,9,8/17/16,3.45,39,4,66456
Tracy 3,Soybean,10,8/17/16,2.8,48,19,81792
Tracy 3,Soybean,11,8/17/16,7.6,167,13,284568
Tracy 3,Soybean,12,8/17/16,3.45,62,5.5,105648
Haglund 1,Soybean,13,8/17/16,11.7,191,16,325464
Haglund 1,Soybean,14,8/17/16,19.9,282,20,480528
Haglund 1,Soybean,15,8/17/16,15.65,237,15,403848
Haglund 1,Soybean,16,8/17/16,29.55,289,19,492456
Tracy 1,Soybean,17,8/17/16,16.15,0,17,0
Tracy 1,Soybean,18,8/17/16,14.6,88,11,149952
Tracy 1,Soybean,19,8/17/16,0.05,0,7,0
Tracy 1,Soybean,20,8/17/16,12.25,205,11,349320
Ivis,Soybean,21,8/17/16,15.329615,241,18,410664
Ivis,Soybean,22,8/17/16,41.22612585,167.5,37,285420
Ivis,Soybean,23,8/17/16,18.8658302,427.7,29,728800.8
Ivis,Soybean,24,8/17/16,42.8136989,0,40,0
East Dairy,Soybean,25,8/17/16,39.2457374,269,47,458376
East Dairy,Soybean,26,8/17/16,23.4017532,169,34,287976
East Dairy,Soybean,27,8/17/16,32.0200069,228,33,388512
East Dairy,Soybean,28,8/17/16,29.2846683,170.5,41,290532
Curtiss,Soybean,29,8/17/16,9.9,222,20,378288
Curtiss,Soybean,30,8/17/16,46.1,208.5,26.5,355284
Curtiss,Soybean,31,8/17/16,32.2,161,30.5,274344
Curtiss,Soybean,32,8/17/16,19.7,97,15,165288
Oakland,Soybean,33,8/17/16,32.6346683,314.5,39,535908
Oakland,Soybean,34,8/17/16,20.8912685,179.5,14,305868
Oakland,Soybean,35,8/17/16,15.6906841,218.5,28,372324
Oakland,Soybean,36,8/17/16,24.5200069,263.5,36,449004
Kostelnick,Soybean,37,8/17/16,8.3,183,10,311832
Kostelnick,Soybean,38,8/17/16,3.35,11,11,18744
Kostelnick,Soybean,39,8/17/16,12.7,176,7,299904
Kostelnick,Soybean,40,8/17/16,9.55,234,18,398736
7 Pines,CSA,41,8/17/16,36.6741836,298.5,31,508644
7 Pines,CSA,42,8/17/16,38.9385528,357,50,608328
7 Pines,CSA,43,8/17/16,47.3678756,232,40,395328
7 Pines,CSA,44,8/17/16,24.3089378,164,22,279456
Black Cat,CSA,45,8/17/16,29.3562221,304.5,52,518868
Black Cat,CSA,46,8/17/16,38.4924373,205.5,41,350172
Black Cat,CSA,47,8/17/16,16.3870918,73,8.5,124392
